normalized_disease,profile_count,canonical_dosha_counts
adrenal insufficiency,2,"{""Vata"": 1, ""Vata + Pitta"": 1}"
alkaptonuria,2,"{""Vata + Kapha"": 1, ""Vata + Pitta"": 1}"
alzheimer s disease,2,"{""Vata + Pitta"": 1, ""Vata"": 1}"
amyotrophic lateral sclerosis als,2,"{""Vata"": 1, ""Vata + Pitta"": 1}"
anxiety,2,"{""Vata + Pitta"": 1, ""Vata"": 1}"
arrhythmia,2,"{""Vata + Pitta"": 1, ""Kapha"": 1}"
arthritis,3,"{""Vata + Kapha"": 2, ""Pitta"": 1}"
ascariasis,2,"{""Pitta + Kapha"": 1, ""Vata + Pitta"": 1}"
asparagine synthetase deficiency,2,"{""Vata"": 1, ""Pitta + Kapha"": 1}"
aspartylglucosaminuria,2,"{""Vata"": 1, ""Pitta"": 1}"
asthma,4,"{""Vata + Kapha"": 3, ""Vata"": 1}"
atherosclerosis,3,"{""Pitta + Kapha"": 1, ""Vata + Kapha"": 1, ""Pitta"": 1}"
autosomal dominant polycystic kidney disease,2,"{""Pitta + Kapha"": 1, ""Kapha"": 1}"
back pain,2,"{""Vata"": 1, ""Vata + Kapha"": 1}"
barth syndrome,2,"{""Vata + Pitta"": 1, ""Pitta + Kapha"": 1}"
bipolar disorder,2,"{""Vata + Pitta"": 1, ""Vata"": 1}"
celiac disease,2,"{""Vata + Pitta"": 1, ""Kapha"": 1}"
chronic fatigue syndrome,2,"{""Vata"": 1, ""Vata + Pitta"": 1}"
colorectal cancer,2,"{""Pitta + Kapha"": 1, ""Vata + Pitta"": 1}"
coronary artery disease,2,"{""Pitta + Kapha"": 1, ""Vata + Pitta"": 1}"
crohn s disease,3,"{""Pitta + Kapha"": 1, ""Vata + Pitta"": 1, ""Pitta"": 1}"
cystic fibrosis,3,"{""Vata + Kapha"": 1, ""Kapha"": 1, ""Vata"": 1}"
epilepsy,3,"{""Vata"": 2, ""Vata + Pitta"": 1}"
fever,2,"{""Pitta + Kapha"": 1, ""Pitta"": 1}"
fibromyalgia,2,"{""Vata"": 1, ""Vata + Pitta"": 1}"
glomerulonephritis,2,"{""Vata + Kapha"": 1, ""Pitta"": 1}"
gout,2,"{""Vata + Pitta"": 1, ""Pitta + Kapha"": 1}"
graves disease,2,"{""Vata + Pitta"": 1, ""Pitta"": 1}"
heart attack myocardial infarction,2,"{""Vata + Pitta"": 1, ""Pitta"": 1}"
hodgkin s lymphoma,2,"{""Pitta"": 1, ""Vata"": 1}"
hypertension,3,"{""Vata + Pitta"": 2, ""Pitta"": 1}"
insomnia,2,"{""Vata + Pitta"": 1, ""Vata"": 1}"
irritable bowel syndrome ibs,2,"{""Vata"": 1, ""Vata + Pitta"": 1}"
kidney cancer,2,"{""Vata + Kapha"": 1, ""Pitta"": 1}"
leukemia,2,"{""Vata + Pitta"": 1, ""Pitta"": 1}"
lupus,2,"{""Pitta"": 1, ""Vata + Pitta"": 1}"
lymphoma,2,"{""Vata + Pitta"": 1, ""Pitta"": 1}"
menstrual disorders,2,"{""Vata + Pitta"": 1, ""Pitta"": 1}"
migraine,2,"{""Vata + Pitta"": 1, ""Pitta"": 1}"
multiple sclerosis,2,"{""Vata + Pitta"": 1, ""Vata"": 1}"
obesity,2,"{""Kapha"": 1, ""Pitta + Kapha"": 1}"
pneumonia,2,"{""Vata + Pitta"": 1, ""Vata"": 1}"
prostate cancer,2,"{""Vata + Pitta"": 1, ""Pitta"": 1}"
rheumatoid arthritis,2,"{""Vata + Kapha"": 1, ""Vata"": 1}"
sickle cell anemia,2,"{""Vata + Pitta"": 1, ""Kapha"": 1}"
sleep apnea,2,"{""Vata + Kapha"": 1, ""Vata"": 1}"
stroke,2,"{""Vata + Pitta"": 1, ""Vata"": 1}"
zika virus,2,"{""Pitta"": 1, ""Vata"": 1}"
