normalized_condition_name,display_name,profile_count,dosha_combinations_present,relevant_fields_complete,missing_or_placeholder_fields,symptoms_completeness_score,dosha_clarity_score,diet_lifestyle_completeness_score,prevention_completeness_score,complications_referral_completeness_score,within_group_symptom_coherence,symptom_distinctiveness_score,distinctiveness_score,rule_potential_score,external_source_availability_status,external_source_availability_score,manageable_scope_status,manageable_scope_score,preliminary_data_score,selection_score
acanthosis nigricans,Acanthosis Nigricans,1,"Pitta, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7209759665338831,0.7209759665338831,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7670975966533883,0.7670975966533883
acidity,Acidity,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8369598006892532,0.8369598006892532,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7786959800689253,0.7786959800689253
acne,Acne,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.917257803697204,0.917257803697204,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7867257803697204,0.7867257803697204
acromegaly,Acromegaly,1,"Pitta, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.7209759665338831,0.7209759665338831,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7670975966533883,0.7670975966533883
acute kidney injury,Acute Kidney Injury,1,"Pitta, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8062002872166226,0.8062002872166226,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7756200287216622,0.7756200287216622
addison s disease,Addison's Disease,2,"Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,0.6949450440198668,0.4808302234531616,0.4808302234531616,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7430830223453161,0.7430830223453161
adrenal insufficiency,Adrenal Insufficiency,2,"Vata | Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,0.5,1.0,1.0,1.0,0.1263637396650437,0.4808302234531616,0.4808302234531616,0.9,not yet verified,0.0,not manually reviewed,0.5,0.6710830223453161,0.6710830223453161
alkaptonuria,Alkaptonuria,2,"Vata, Kapha | Vata, Pitta","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""complications""]","{""prevention"": 1}",1.0,0.5,1.0,0.5,1.0,0.20199309249791833,0.617133726756486,0.617133726756486,0.8,not yet verified,0.0,not manually reviewed,0.5,0.6327133726756485,0.6327133726756485
allergies,Allergies,1,"Vata, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.8354030971773895,0.8354030971773895,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7785403097177389,0.7785403097177389
alopecia,Alopecia,1,Pitta,"[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.6190837276830676,0.6190837276830676,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7569083727683067,0.7569083727683067
amebiasis,Amebiasis,1,"Pitta, Kapha","[""symptoms"", ""doshas"", ""diet_and_lifestyle_recommendations"", ""prevention"", ""complications""]",{},1.0,1.0,1.0,1.0,1.0,1.0,0.5531430989575914,0.5531430989575914,1.0,not yet verified,0.0,not manually reviewed,0.5,0.7503143098957591,0.7503143098957591
